title,distributor,distributor_filter,genre,genre1_index,genre2_index,genre1,genre2,rating,running_time,production_year,release_date,month,day,production_budget,domestic_income,inflation_domestic_income,formatted_production_budget,formatted_domestic_income,formatted_inflation_domestic_income,director,link,image
Silkwood,Fox,Fox,Drama,6,,Drama,,R,131,1983,19831216,12,16,0,35615609,87295200, $ ---------------     ,"$35,615,609 ","$87,295,200 ",Mike Nichols,http://www.imdb.com/title/tt0086312/,
Psycho II,Universal,Universal,"Horror, Thriller",8,12,Horror,Thriller,R,113,1983,19830603,6,3,0,34725000,89954300, $ ---------------     ,"$34,725,000 ","$89,954,300 ",Richard Franklin,http://www.imdb.com/title/tt0086154/,
Porky's II: The Next Day,Fox,Fox,Comedy,3,,Comedy,,R,98,1983,19830624,6,24,0,33759266,87452600, $ ---------------     ,"$33,759,266 ","$87,452,600 ",Bob Clark,http://www.imdb.com/title/tt0086129/,
Uncommon Valor,Paramount Pictures,Paramount Pictures,"Action, Drama",0,6,Action,Drama,R,104,1983,19831216,12,16,0,30503151,75652900, $ ---------------     ,"$30,503,151 ","$75,652,900 ",Ted Kotchef,http://www.imdb.com/title/tt0086508/,
Snow White and the Seven Dwarfs (Re-issue) (1983),Buena Vista,Buena Vista,Animation,2,,Animation,,G,84,1983,19830715,7,15,0,30100000,77973300, $ ---------------     ,"$30,100,000 ","$77,973,300 ",David Hand,http://www.imdb.com/title/tt0029583/,
Never Cry Wolf,Buena Vista,Buena Vista,Adventure,1,,Adventure,,PG,105,1983,19831007,10,7,0,29600000,71885700, $ ---------------     ,"$29,600,000 ","$71,885,700 ",Carroll Ballard,http://www.imdb.com/title/tt0086005/,
Twilight Zone: The Movie,Warner Bros.,Warner Bros.,"Sci-Fi, Horror",11,8,Sci-Fi,Horror,PG,101,1983,19830624,6,24,0,29450919,76291900, $ ---------------     ,"$29,450,919 ","$76,291,900 ",George Miller,http://www.imdb.com/title/tt0086491/,
Beverly Hills Cop,Paramount Pictures,Paramount Pictures,"Action, Comedy",0,3,Action,Comedy,R,105,1984,19841205,12,5,0,234760478,547944100, $ ---------------     ,"$234,760,478 ","$547,944,100 ",Martin Brest,http://www.imdb.com/title/tt0086960/,
Ghostbusters,Columbia,Other,"Comedy, Horror",3,8,Comedy,Horror,PG,107,1984,19840608,6,8,30000000,229242989,555580000,"$30,000,000 ","$229,242,989 ","$555,580,000 ",Ivan Reitman,http://www.imdb.com/title/tt0087332/,
Indiana Jones and the Temple of Doom,Paramount Pictures,Paramount Pictures,Adventure,1,,Adventure,,PG,118,1984,19840523,5,23,28000000,179870271,436827800,"$28,000,000 ","$179,870,271 ","$436,827,800 ",Steven Spielberg,http://www.imdb.com/title/tt0087469/,
Gremlins,Warner Bros.,Warner Bros.,"Comedy, Horror",3,8,Comedy,Horror,PG,106,1984,19840608,6,8,0,148168459,436827800, $ ---------------     ,"$148,168,459 ","$436,827,800 ",Joe Dante,http://www.imdb.com/title/tt0087363/,
The Karate Kid,Columbia,Other,"Drama, Action",6,0,Drama,Action,PG,127,1984,19840622,6,22,0,90815558,220552100, $ ---------------     ,"$90,815,558 ","$220,552,100 ",John G. Avildsen,http://www.imdb.com/title/tt0087538/,
Police Academy,Warner Bros.,Warner Bros.,Comedy,3,,Comedy,,R,97,1984,19840323,3,23,0,81198894,197197300, $ ---------------     ,"$81,198,894 ","$197,197,300 ",Hugh Wilson,http://www.imdb.com/title/tt0087928/,
Footlose,Paramount Pictures,Paramount Pictures,Drama,6,,Drama,,PG,107,1984,19840217,2,17,8200000,80035402,194371700,"$8,200,000 ","$80,035,402 ","$194,371,700 ",Herbert Ross,http://www.imdb.com/title/tt0087277/,
Romancing the Stone,Fox,Fox,"Adventure, Romance",1,10,Adventure,Romance,PG,105,1984,19840330,3,30,0,76572238,185961200, $ ---------------     ,"$76,572,238 ","$185,961,200 ",Robert Zemeckis,http://www.imdb.com/title/tt0088011/,
Star Trek III: The Search for Spock,Paramount Pictures,Paramount Pictures,"Sci-Fi, Adventure",11,1,Sci-Fi,Adventure,PG,105,1984,19840601,6,1,0,76471046,185715400, $ ---------------     ,"$76,471,046 ","$185,715,400 ",Leonard Nimoy,http://www.imdb.com/title/tt0088170/,
Splash,Buena Vista,Buena Vista,"Romance, Comedy",10,3,Romance,Comedy,PG,111,1984,19840309,3,9,0,69821334,169566100, $ ---------------     ,"$69,821,334 ","$169,566,100 ",Ron Howard,http://www.imdb.com/title/tt0088161/,
Purple Rain,Warner Bros.,Warner Bros.,Drama,6,,Drama,,R,111,1984,19840727,7,27,0,68392977,166097200, $ ---------------     ,"$68,392,977 ","$166,097,200 ",Albert Magnoli,http://www.imdb.com/title/tt0087957/,
Amadeus,Orion Pictures,Other,Drama,6,,Drama,,PG,158,1984,19840921,9,21,0,51564280,120726500, $ ---------------     ,"$51,564,280 ","$120,726,500 ",Milos Forman,http://www.imdb.com/title/tt0086879/,
Tightrope,Warner Bros.,Warner Bros.,"Thriller, Action",12,0,Thriller,Action,R,115,1984,19840817,8,17,0,48143579,116920100, $ ---------------     ,"$48,143,579 ","$116,920,100 ","Clint Eastwood, Richard Tuggle",http://www.imdb.com/title/tt0088272/,
The Natural,TriStar,Other,Drama,6,,Drama,,PG,138,1984,19840511,5,11,0,47951979,116454800, $ ---------------     ,"$47,951,979 ","$116,454,800 ",Barry Levinson,http://www.imdb.com/title/tt0087781/,
Greystoke: The Legend of Tarzan,Warner Bros.,Warner Bros.,Adventure,1,,Adventure,,PG,137,1984,19840330,3,30,0,45858563,111370800, $ ---------------     ,"$45,858,563 ","$111,370,800 ",Hugh Hudson,http://www.imdb.com/title/tt0087365/,
Revenge of the Nerds,Fox,Fox,Comedy,3,,Comedy,,R,90,1984,19840720,7,20,0,40874452,99266500, $ ---------------     ,"$40,874,452 ","$99,266,500 ",Jeff Kanew,http://www.imdb.com/title/tt0088000/,
2010,MGM,Other,"Sci-Fi, Adventure",11,1,Sci-Fi,Adventure,PG,116,1984,19841207,12,7,0,40400657,95683200, $ ---------------     ,"$40,400,657 ","$95,683,200 ",Peter Hyams,http://www.imdb.com/title/tt0086837/,
Breakin',Cannon Films,Other,Drama,6,,Drama,,PG,86,1984,19840504,5,4,0,38682707,93943700, $ ---------------     ,"$38,682,707 ","$93,943,700 ",Joel Silberg,http://www.imdb.com/title/tt0086998/,
Bachelor Party,Fox,Fox,Comedy,3,,Comedy,,R,105,1984,19840629,6,29,0,38435947,93344400, $ ---------------     ,"$38,435,947 ","$93,344,400 ",Neal Israel,http://www.imdb.com/title/tt0086927/,
Red Dawn (1984),MGM,Other,Action,0,,Action,,PG-13,114,1984,19840810,8,10,0,38376497,93200100, $ ---------------     ,"$38,376,497 ","$93,200,100 ",John Milius,http://www.imdb.com/title/tt0087985/,
The Terminator,Orion Pictures,Other,"Sci-Fi, Action",11,0,Sci-Fi,Action,R,107,1984,19841026,10,26,6400000,38371200,92619600,"$6,400,000 ","$38,371,200 ","$92,619,600 ",James Cameron,http://www.imdb.com/title/tt0088247/,
City Heat,Warner Bros.,Warner Bros.,"Action, Comedy",0,3,Action,Comedy,PG,99,1984,19841207,12,7,0,38348988,90851300, $ ---------------     ,"$38,348,988 ","$90,851,300 ","Blake Edwards, Richard Benjamin",http://www.imdb.com/title/tt0087062/,
All of Me,Universal,Universal,"Fantasy, Comedy",7,3,Fantasy,Comedy,PG,93,1984,19840921,9,21,0,36403064,86240600, $ ---------------     ,"$36,403,064 ","$86,240,600 ",Carl Reiner,http://www.imdb.com/title/tt0086873/,
Places in the Heart,TriStar,Other,Drama,6,,Drama,,PG,112,1984,19840921,9,21,0,34901614,83934100, $ ---------------     ,"$34,901,614 ","$83,934,100 ",Robert Benton,http://www.imdb.com/title/tt0087921/,
The Killing Fields,Warner Bros.,Warner Bros.,"War, Drama",6,13,Drama,War,R,142,1984,19841102,11,2,0,34700291,79846400, $ ---------------     ,"$34,700,291 ","$79,846,400 ",Roland Joffe,http://www.imdb.com/title/tt0087553/,
Back to the Future,Universal,Universal,"Sci-Fi, Adventure",11,1,Sci-Fi,Adventure,PG,111,1985,19850703,7,3,19000000,210609762,481853300,"$19,000,000 ","$210,609,762 ","$481,853,300 ",Robert Zemeckis,http://www.imdb.com/title/tt0088763/,
Rambo: First Blood Part II,TriStar,Other,Action,0,,Action,,R,94,1985,19850522,5,22,0,150415432,345743600, $ ---------------     ,"$150,415,432 ","$345,743,600 ",George P. Cosmatos,http://www.imdb.com/title/tt0089880/,
Rocky IV,United Artists,Other,Drama,6,,Drama,,PG,91,1985,19851127,11,27,0,127873716,288760400, $ ---------------     ,"$127,873,716 ","$288,760,400 ",Sylvester Stallone,http://www.imdb.com/title/tt0089927/,
The Color Purple,Warner Bros.,Warner Bros.,Drama,6,,Drama,,PG-13,154,1985,19851220,12,20,0,94175854,207527300, $ ---------------     ,"$94,175,854 ","$207,527,300 ",Steven Spielberg,http://www.imdb.com/title/tt0088939/,
Out of Africa,Universal,Universal,Romance,10,,Romance,,PG,161,1985,19851220,12,20,0,87071205,192268800, $ ---------------     ,"$87,071,205 ","$192,268,800 ",Sydney Pollack,http://www.imdb.com/title/tt0089755/,
Cocoon,Fox,Fox,"Sci-Fi, Adventure",11,1,Sci-Fi,Adventure,PG-13,117,1985,19850621,6,21,0,76113124,174953000, $ ---------------     ,"$76,113,124 ","$174,953,000 ",Ron Howard,http://www.imdb.com/title/tt0088933/,
The Jewel of the Nile ,Fox,Fox,Adventure,1,,Adventure,,PG,106,1985,19851213,12,13,0,75973200,169041200, $ ---------------     ,"$75,973,200 ","$169,041,200 ",Lewis Teague,http://www.imdb.com/title/tt0089370/,
Witness,Paramount Pictures,Paramount Pictures,"Drama, Thriller",6,12,Drama,Thriller,R,112,1985,19850208,2,8,0,68706993,157929300, $ ---------------     ,"$68,706,993 ","$157,929,300 ",Peter Weir,http://www.imdb.com/title/tt0090329/,
The Goonies,Warner Bros.,Warner Bros.,Adventure,1,,Adventure,,PG,90,1985,19850607,6,7,0,61389680,141109800, $ ---------------     ,"$61,389,680 ","$141,109,800 ",Richard Donner,http://www.imdb.com/title/tt0089218/,
Spies Like Us,Warner Bros.,Warner Bros.,"Action, Comedy",0,3,Action,Comedy,PG,102,1985,19851206,12,6,0,60088980,134795100, $ ---------------     ,"$60,088,980 ","$134,795,100 ",John Landis,http://www.imdb.com/title/tt0090056/,
Police Academy 2: Their First Assignment,Warner Bros.,Warner Bros.,Comedy,3,,Comedy,,PG-13,97,1985,19850329,3,29,0,55600000,127801700, $ ---------------     ,"$55,600,000 ","$127,801,700 ",Jerry Paris,http://www.imdb.com/title/tt0089822/,
Fletch,Universal,Universal,Comedy,3,,Comedy,,PG,98,1985,19850531,5,31,0,50612888,116338400, $ ---------------     ,"$50,612,888 ","$116,338,400 ",Michael Ritchie,http://www.imdb.com/title/tt0089155/,
A View to a Kill,MGM,Other,Action,0,,Action,,PG,131,1985,19850524,5,24,0,50327960,115683400, $ ---------------     ,"$50,327,960 ","$115,683,400 ",John Glen,http://www.imdb.com/title/tt0090264/,
European Vacation,Warner Bros.,Warner Bros.,Comedy,3,,Comedy,,PG-13,94,1985,19850726,7,26,0,49364621,113469100, $ ---------------     ,"$49,364,621 ","$113,469,100 ",Amy Heckerling,http://www.imdb.com/title/tt0089670/,
Mask,Universal,Universal,Drama,6,,Drama,,PG-13,127,1985,19850308,3,8,0,48230162,110861400, $ ---------------     ,"$48,230,162 ","$110,861,400 ",Peter Bogdanovich,http://www.imdb.com/title/tt0089560/,
The Breakfast Club,Universal,Universal,"Drama, Comedy",6,3,Drama,Comedy,R,100,1985,19850215,2,15,0,45875171,105448300, $ ---------------     ,"$45,875,171 ","$105,448,300 ",John Hughes,http://www.imdb.com/title/tt0088847/,
White Nights,Columbia,Other,Drama,6,,Drama,,PG-13,136,1985,19851122,11,22,0,42160849,94468200, $ ---------------     ,"$42,160,849 ","$94,468,200 ",Taylor Hackford,http://www.imdb.com/title/tt0090319/,
Pale Rider,Warner Bros.,Warner Bros.,Western,14,,Western,,R,113,1985,19850628,6,28,0,41410568,95186000, $ ---------------     ,"$41,410,568 ","$95,186,000 ",Clint Eastwood,http://www.imdb.com/title/tt0089767/,
Pee-Wee's Big Adventure,Warner Bros.,Warner Bros.,Comedy,3,,Comedy,,PG,92,1985,19850809,8,9,0,40940662,94105900, $ ---------------     ,"$40,940,662 ","$94,105,900 ",Tim Burton,http://www.imdb.com/title/tt0089791/,
Brewster's Millions,Universal,Universal,Comedy,3,,Comedy,,PG,102,1985,19850522,5,22,0,40833132,93858700, $ ---------------     ,"$40,833,132 ","$93,858,700 ",Walter Hill,http://www.imdb.com/title/tt0088850/,
E.T. the Extra-Terrestrial (Re-issue),Universal,Universal,"Sci-Fi, Adventure",11,1,Sci-Fi,Adventure,PG,117,1985,19850719,7,19,0,40607502,93340100, $ ---------------     ,"$40,607,502 ","$93,340,100 ",Steven Spielberg,http://www.imdb.com/title/tt0083866/,
Jagged Edge,Columbia,Other,Thriller,12,,Thriller,,R,108,1985,19851004,10,4,0,40491165,93072600, $ ---------------     ,"$40,491,165 ","$93,072,600 ",Richard Marquand,http://www.imdb.com/title/tt0089360/,
St. Elmo's Fire,Columbia,Other,Drama,6,,Drama,,R,110,1985,19850628,6,28,0,37803872,86895700, $ ---------------     ,"$37,803,872 ","$86,895,700 ",Joel Schumacher,http://www.imdb.com/title/tt0090060/,
Mad Max Beyond Thunderdome,Warner Bros.,Warner Bros.,"Sci-Fi, Adventure",11,1,Sci-Fi,Adventure,PG-13,107,1985,19850712,7,12,0,36230219,3278500, $ ---------------     ,"$36,230,219 ","$3,278,500 ","George Miller, George Ogilvie",http://www.imdb.com/title/tt0089530/,
Commando,Fox,Fox,Action,0,,Action,,R,90,1985,19851004,10,4,0,35100000,80680500, $ ---------------     ,"$35,100,000 ","$80,680,500 ",Mark L. Lester,http://www.imdb.com/title/tt0088944/,
Top Gun,Paramount Pictures,Paramount Pictures,"Action, Drama",0,6,Action,Drama,PG,110,1986,19860516,5,16,0,176781728,388824500, $ ---------------     ,"$176,781,728 ","$388,824,500 ",Tony Scott,http://www.imdb.com/title/tt0092099/,
Crocodile Dundee,Paramount Pictures,Paramount Pictures,"Adventure, Comedy",1,3,Adventure,Comedy,PG-13,93,1986,19860926,9,26,0,174803506,377012100, $ ---------------     ,"$174,803,506 ","$377,012,100 ",Peter Faiman,http://www.imdb.com/title/tt0090555/,
Platoon,Orion Pictures,Other,"War, Drama",13,6,War,Drama,R,120,1986,19861219,12,19,6000000,138530565,289157800,"$6,000,000 ","$138,530,565 ","$289,157,800 ",Oliver Stone,http://www.imdb.com/title/tt0091763/,
The Karate Kid Part II,Columbia,Other,Action,0,,Action,,PG,113,1986,19860620,6,20,0,115103979,253166700, $ ---------------     ,"$115,103,979 ","$253,166,700 ",John G. Avildsen,http://www.imdb.com/title/tt0091326/,
Star Trek IV: The Voyage Home,Paramount Pictures,Paramount Pictures,"Sci-Fi, Adventure",11,1,Sci-Fi,Adventure,PG,109,1986,19861126,11,26,0,109713132,235578900, $ ---------------     ,"$109,713,132 ","$235,578,900 ",Leonard Nimoy,http://www.imdb.com/title/tt0092007/,
Back to School,Orion Pictures,Other,Comedy,3,,Comedy,,PG-13,96,1986,19860613,6,13,0,91258000,200718400, $ ---------------     ,"$91,258,000 ","$200,718,400 ",Alan Metter,http://www.imdb.com/title/tt0090685/,
Aliens,Fox,Fox,"Sci-Fi, Horror",11,8,Sci-Fi,Horror,R,137,1986,19860718,7,18,0,85160248,187306600, $ ---------------     ,"$85,160,248 ","$187,306,600 ",James Cameron,http://www.imdb.com/title/tt0090605/,
The Golden Child,Paramount Pictures,Paramount Pictures,Comedy,3,,Comedy,,PG-13,93,1986,19861212,12,12,0,79817937,169774500, $ ---------------     ,"$79,817,937 ","$169,774,500 ",Michael Ritchie,http://www.imdb.com/title/tt0091129/,
Ruthless People,Buena Vista,Buena Vista,Comedy,3,,Comedy,,R,93,1986,19860627,6,27,0,71624879,157536100, $ ---------------     ,"$71,624,879 ","$157,536,100 ","Jim Abrahams, David Zucker, Jerry Zucker",http://www.imdb.com/title/tt0091877/,
Ferris Bueller's Day Off,Paramount Pictures,Paramount Pictures,Comedy,3,,Comedy,,PG-13,102,1986,19860613,6,13,0,70136369,154262200, $ ---------------     ,"$70,136,369 ","$154,262,200 ",John Hughes,http://www.imdb.com/title/tt0091042/,
Down and Out in Beverly Hills,Buena Vista,Buena Vista,Comedy,3,,Comedy,,R,103,1986,19860131,1,31,0,62134225,136661800, $ ---------------     ,"$62,134,225 ","$136,661,800 ",Paul Mazursky,http://www.imdb.com/title/tt0090966/,
The Color of Money,Buena Vista,Buena Vista,Drama,6,,Drama,,R,119,1986,19861017,10,17,0,52293982,115018600, $ ---------------     ,"$52,293,982 ","$115,018,600 ",Martin Scorsese,http://www.imdb.com/title/tt0090863/,
Stand by Me,Columbia,Other,Drama,6,,Drama,,R,88,1986,19860808,8,8,0,52287414,115004100, $ ---------------     ,"$52,287,414 ","$115,004,100 ",Rob Reiner,http://www.imdb.com/title/tt0092005/,
Legal Eagles,Universal,Universal,"Comedy, Romance",3,10,Comedy,Romance,PG,116,1986,19860620,6,20,0,49851591,109646600, $ ---------------     ,"$49,851,591 ","$109,646,600 ",Ivan Reitman,http://www.imdb.com/title/tt0091396/,
Cobra,Warner Bros.,Warner Bros.,Action,0,,Action,,R,87,1986,19860523,5,23,0,49042224,107866400, $ ---------------     ,"$49,042,224 ","$107,866,400 ",George P. Cosmatos,http://www.imdb.com/title/tt0090859/,
An American Tail,Universal,Universal,Animation,2,,Animation,,G,81,1986,19861121,11,21,0,47483002,102262300, $ ---------------     ,"$47,483,002 ","$102,262,300 ",Don Bluth,http://www.imdb.com/title/tt0090633/,
Police Academy 3: Back in Training,Warner Bros.,Warner Bros.,Comedy,3,,Comedy,,PG,83,1986,19860321,3,21,0,43579163,95850700, $ ---------------     ,"$43,579,163 ","$95,850,700 ",Jerry Paris,http://www.imdb.com/title/tt0091777/,
Heartbreak Ridge,Warner Bros.,Warner Bros.,"Action, War",0,13,Action,War,R,130,1986,19861205,12,5,0,42724017,91772700, $ ---------------     ,"$42,724,017 ","$91,772,700 ",Clint Eastwood,http://www.imdb.com/title/tt0091187/,
Peggy Sue Got Married,TriStar,Other,"Fantasy, Comedy",7,3,Fantasy,Comedy,PG-13,103,1986,19861010,10,10,0,41382841,91019900, $ ---------------     ,"$41,382,841 ","$91,019,900 ",Francis Ford Coppola,http://www.imdb.com/title/tt0091738/,
Poltergeist II: The Other Side,MGM,Other,Horror,8,,Horror,,PG-13,91,1986,19860523,5,23,0,40996665,90170600, $ ---------------     ,"$40,996,665 ","$90,170,600 ",Brian Gibson,http://www.imdb.com/title/tt0091778/,
Short Circuit,Tristar,Other,"Comedy, Sci-Fi",3,11,Comedy,Sci-Fi,PG,99,1986,19860509,5,9,0,40697761,89513100, $ ---------------     ,"$40,697,761 ","$89,513,100 ",John Badham,http://www.imdb.com/title/tt0091949/,
Pretty in Pink,Paramount Pictures,Paramount Pictures,"Romance, Comedy",10,3,Romance,Comedy,PG-13,96,1986,19860228,2,28,0,40471663,89015800, $ ---------------     ,"$40,471,663 ","$89,015,800 ",Howard Deutch,http://www.imdb.com/title/tt0091790/,
The Fly,Fox,Fox,"Sci-Fi, Horror",11,8,Sci-Fi,Horror,R,95,1986,19860815,8,15,0,40456565,88982600, $ ---------------     ,"$40,456,565 ","$88,982,600 ",David Cronenberg,http://www.imdb.com/title/tt0091064/,
Three Amigos,Orion Pictures,Other,Comedy,3,,Comedy,,PG,105,1986,19861212,12,12,0,39246734,83572300, $ ---------------     ,"$39,246,734 ","$83,572,300 ",John Landis,http://www.imdb.com/title/tt0092086/,
Little Shop of Horrors,Warner Bros.,Warner Bros.,Musical,9,,Musical,,PG-13,88,1986,19861219,12,19,0,38748395,81582800, $ ---------------     ,"$38,748,395 ","$81,582,800 ",Frank Oz,http://www.imdb.com/title/tt0091419/,
Three Men and a Baby,Buena Vista,Buena Vista,Comedy,3,,Comedy,,PG,102,1987,19871125,11,25,11000000,167780960,340302800,"$11,000,000 ","$167,780,960 ","$340,302,800 ",Leonard Nimoy,http://www.imdb.com/title/tt0094137/,
